ProbeID	RefseqBlastZebrafishGene	RefseqBlastZebrafishNucleotide	Number of Different Genes hit with highest stringency
A_15_P164586	ppp1r15b	NM_001045219 	1
A_15_P145016	kiaa0895l	XM_009303503 	1
A_15_P121322	ndrg3b	NM_199797 	1
A_15_P490942	angptl2b	NM_001126478 	1
A_15_P138546	mef2bnb	NM_001098247 	1
A_15_P110298	has1	NM_001164030 	1
A_15_P111796	pdx1	NM_131443 	1
A_15_P631871	gbx1	NM_174861 	1
A_15_P472865	arhgap11a	NM_213316 	1
A_15_P541497	cebpa	NM_131885 	1
A_15_P142976	neurod6a	NM_131816 	1
CUST_23336_PI425730982	si:dkeyp-110e4.11	XM_001337418 	1
CUST_15269_PI425730982	si:ch211-207j7.2	XM_001921109 	1
A_15_P627246	snx18b	NM_001015063 	1
A_15_P392775	LOC560440	XM_009303430 	1
A_15_P474430	im:7136021	XM_005158815 	1
A_15_P637118	si:dkeyp-34c12.1	XM_005161810 	1
A_15_P665316	LOC103909364	XR_659243 	1
A_15_P107396	dtnbp1a	NM_201134 	1
A_15_P156816	LOC103909756	XM_009297448 	1
A_15_P172841	fem1c	NM_198145 	1
A_15_P117094	ilk	NM_200571 	1
CUST_960_PI425730982	zgc:63587	NM_200459 	1
A_15_P167726	chst8	XM_001336867 	1
CUST_3603_PI425730982	smtnl1	NM_001013321 	1
A_15_P152831	zgc:111868	NM_001034970 	1
A_15_P268811	nin	XM_009307508 	1
A_15_P665531	psmc5	NM_001003740 	1
A_15_P655931	foxn4	NM_131099 	1
A_15_P726986	desi2	NM_001003532 	1
A_15_P680551	adamts3	NM_001287096 	1
CUST_20844_PI425730982	slc16a8	XM_681038 	1
A_15_P629691	si:ch211-11p18.4	NM_001089420 	1
A_15_P762931	LOC100331984	XM_009300463 	1
A_15_P727581	gtf3ab	NM_001089544 	1
CUST_1499_PI425731064	kmt2cb	XM_009298123 	1
A_15_P620611	zgc:152830	NM_001076620 	1
A_15_P178766	serf2	NM_001160335 	1
CUST_4908_PI425730982	ugt5a1	NM_001037420 	1
CUST_929_PI425731064	fam45a	XM_678956 	1
A_15_P492837	rbl1	NM_001130610 	1
A_15_P243161	mgat5	NM_001045311 	1
A_15_P631042	anxa1c	NM_181760 	1
A_15_P340315	mef2aa	NM_131301 	1
A_15_P717166	zgc:153119	NM_001077275 	1
A_15_P143761	vimp	NM_001045334 	1
A_15_P137206	LOC100004768	XM_001338920 	1
A_15_P239321	usp19	XM_005162120 	1
A_15_P176551	zgc:154142	NM_001099240 	1
A_15_P117850	rab11fip1b	XM_005164192 	1
A_15_P630701	sncga	NM_001017567 	1
A_15_P653561	LOC564610	XR_662066 	1
CUST_1535_PI425730982	pars2	NM_205555 	1
A_15_P748211	LOC100149254	XM_005169325 	1
A_15_P141341	ghrl	NM_001083872 	1
CUST_15904_PI425730982	LOC573741	XM_692938 	1
A_15_P623666	exosc6	NM_001020486 	1
A_15_P276521	exosc5	NM_001045352 	1
A_15_P497568	LOC100148296	XM_009306983 	1
A_15_P110552	hirip3	NM_199823 	1
A_15_P202581	adpgk2	XM_689665 	1
A_15_P107426	cdkn2aip	NM_001006085 	1
CUST_14844_PI425730982	si:dkeyp-9d4.2	XM_009306148 	1
A_15_P724346	si:dkey-193c22.1	NM_001100034 	1
A_15_P108387	baz1a	XM_691692 	1
A_15_P113734	f2	XM_005168965 	1
A_15_P280506	klhdc10	XM_005164695 	1
A_15_P158191	waif2	NM_001258231 	1
A_15_P415815	cops2	NM_001002055 	1
A_15_P695506	loxhd1a	XM_009295133 	1
A_15_P102254	mre11a	NM_001001407 	1
A_15_P418555	pwwp2b	XM_001920829 	1
A_15_P164221	arl6ip4	NM_001020758 	1
A_15_P179561	sik2a	NM_001109868 	1
A_15_P629721	rrp7a	NM_001017579 	1
A_15_P735601	grinaa	NM_001045310 	1
A_15_P659906	id2b	NM_199541 	1
A_15_P569377	LOC571641	XM_009295409 	1
A_15_P498397	si:ch211-13f8.2	XM_681237 	1
A_15_P130846	hoxb6a	NM_131119 	1
